PPCO,PPNA,USERID,CREATED,MODIFIED
"AN","Anther","DUKE","10-DEC-97",""
"AR","Aril","DUKE","10-DEC-97",""
"AS","Ash","DUKE","10-DEC-97",""
"BK","Bark","DUKE","10-DEC-97",""
"EB","Bark Essent. Oil","DUKE","10-DEC-97",""
"BT","Bract","DUKE","10-DEC-97",""
"BN","Bran","DUKE","10-DEC-97",""
"BR","Branches","DUKE","10-DEC-97",""
"BD","Bud","DUKE","10-DEC-97",""
"BU","Bulb","DUKE","10-DEC-97",""
"CX","Calyx","DUKE","10-DEC-97",""
"CP","Caryopsis","DUKE","10-DEC-97",""
"CB","Cob","DUKE","10-DEC-97",""
"CK","Cork","DUKE","10-DEC-97",""
"CY","Cotyledon","DUKE","10-DEC-97",""
"EM","Embryo","DUKE","10-DEC-97",""
"EC","Endocarp","DUKE","10-DEC-97",""
"EN","Endosperm","DUKE","10-DEC-97",""
"EP","Epidermis","DUKE","10-DEC-97",""
"EO","Essential Oil","DUKE","10-DEC-97",""
"EX","Exocarp","DUKE","10-DEC-97",""
"FL","Flower","DUKE","10-DEC-97",""
"EW","Flower Essent. Oil","DUKE","10-DEC-97",""
"FR","Fruit","DUKE","10-DEC-97",""
"PR","Fruit Epidermis","DUKE","10-DEC-97",""
"EF","Fruit Essent. Oil","DUKE","10-DEC-97",""
"FJ","Fruit Juice","DUKE","10-DEC-97",""
"GI","Gills","DUKE","10-DEC-97",""
"GU","Gum","DUKE","10-DEC-97",""
"HA","Hay","DUKE","10-DEC-97",""
"HW","Heart Wood","DUKE","10-DEC-97",""
"HE","Herb","DUKE","10-DEC-97",""
"HU","Hull Husk","DUKE","10-DEC-97",""
"EH","Husk Essent. Oil","DUKE","10-DEC-97",""
"HY","Hypocotyl","DUKE","10-DEC-97",""
"IN","Inflorescence","DUKE","10-DEC-97",""
"JU","Juice","DUKE","10-DEC-97",""
"LX","Latex Exudate","DUKE","10-DEC-97",""
"LF","Leaf","DUKE","10-DEC-97",""
"DI","Leaf Diffusate","DUKE","10-DEC-97",""
"EL","Leaf Essent. Oil","DUKE","10-DEC-97",""
"WL","Leaf Wax","DUKE","10-DEC-97",""
"MC","Mesocarp","DUKE","10-DEC-97",""
"MY","Mycelium","DUKE","10-DEC-97",""
"NO","Nodule","DUKE","10-DEC-97",""
"OL","Oil","DUKE","10-DEC-97",""
"PC","Pericarp","DUKE","10-DEC-97",""
"EE","Pericarp Essent. Oil","DUKE","10-DEC-97",""
"PE","Petiole","DUKE","10-DEC-97",""
"PS","Pileus","DUKE","10-DEC-97",""
"PI","Pith","DUKE","10-DEC-97",""
"PL","Plant","DUKE","10-DEC-97",""
"PO","Pollen Or Spore","DUKE","10-DEC-97",""
"PP","Protoplast","DUKE","10-DEC-97",""
"RC","Receptacle","DUKE","10-DEC-97",""
"RO","Resin Essent. Oil","DUKE","10-DEC-97",""
"RE","Resin, Exudate, Sap","DUKE","10-DEC-97",""
"RH","Rhizome","DUKE","10-DEC-97",""
"EZ","Rhizome Essent. Oil","DUKE","10-DEC-97",""
"RT","Root","DUKE","10-DEC-97",""
"RB","Root Bark","DUKE","10-DEC-97",""
"ER","Root Essent. Oil","DUKE","10-DEC-97",""
"SD","Seed","DUKE","10-DEC-97",""
"SC","Seed Coat","DUKE","10-DEC-97",""
"ED","Seed Essent. Oil","DUKE","10-DEC-97",""
"OD","Seed Oil","DUKE","10-DEC-97",""
"SH","Shoot","DUKE","10-DEC-97",""
"EA","Shoot Essent. Oil","DUKE","10-DEC-97",""
"EI","Silk Essent. Oil","DUKE","10-DEC-97",""
"SI","Silk Stigma Style","DUKE","10-DEC-97",""
"SN","Spleen","DUKE","10-DEC-97",""
"SP","Sprout Seedling","DUKE","10-DEC-97",""
"ST","Stem","DUKE","10-DEC-97",""
"SB","Stem Bark","DUKE","10-DEC-97",""
"ES","Stem Essent. Oil","DUKE","10-DEC-97",""
"SR","Strobilus","DUKE","10-DEC-97",""
"SY","Symbiotic Ergot Sclerotia","DUKE","10-DEC-97",""
"TE","Testa","DUKE","10-DEC-97",""
"TH","Thallus","DUKE","10-DEC-97",""
"TC","Tissue Culture","DUKE","10-DEC-97",""
"TR","Trichome","DUKE","10-DEC-97",""
"TU","Tuber","DUKE","10-DEC-97",""
"TP","Tuber Epidermis","DUKE","10-DEC-97",""
"TW","Twig","DUKE","10-DEC-97",""
"WX","Wax","DUKE","10-DEC-97",""
"WD","Wood","DUKE","10-DEC-97",""
"WE","Wood Essent. Oil","DUKE","10-DEC-97",""
"AH","Ah","DUKE","10-DEC-97",""
"AY","Ay","DUKE","10-DEC-97",""
"BE","Be","DUKE","10-DEC-97",""
"BL","Bl","DUKE","10-DEC-97",""
"CF","Cf","DUKE","10-DEC-97",""
"CR","Cr","DUKE","10-DEC-97",""
"DT","Dt","DUKE","10-DEC-97",""
"ET","Et","DUKE","10-DEC-97",""
"GE","Ge","DUKE","10-DEC-97",""
"HB","Hb","DUKE","10-DEC-97",""
"HH","Hh","DUKE","10-DEC-97",""
"HL","Hl","DUKE","10-DEC-97",""
"HR","Hr","DUKE","10-DEC-97",""
"HS","Hs","DUKE","10-DEC-97",""
"JE","Je","DUKE","10-DEC-97",""
"JF","Jf","DUKE","10-DEC-97",""
"LB","Lb","DUKE","10-DEC-97",""
"LG","Lg","DUKE","10-DEC-97",""
"LH","Lh","DUKE","10-DEC-97",""
"NA","Na","DUKE","10-DEC-97",""
"OR","Or","DUKE","10-DEC-97",""
"PF","Pf","DUKE","10-DEC-97",""
"PM","Pm","DUKE","10-DEC-97",""
"PT","Pt","DUKE","10-DEC-97",""
"RF","Rf","DUKE","10-DEC-97",""
"SE","Se","DUKE","10-DEC-97",""
"SG","Sg","DUKE","10-DEC-97",""
"TB","Tb","DUKE","10-DEC-97",""
